<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	06:00:00	3342.55	3345.65	3335.41	3338.27	481	0	180
2025.01.01	06:10:00	3338.27	3340.68	3337.97	3339.80	273	0	180
2025.01.01	06:20:00	3339.80	3342.83	3339.29	3340.66	351	0	180
2025.01.01	06:30:00	3340.66	3341.11	3333.25	3339.09	646	0	180
2025.01.01	06:40:00	3339.09	3343.41	3339.09	3341.28	552	0	180
2025.01.01	06:50:00	3341.28	3344.11	3339.67	3343.98	289	0	180
2025.01.01	07:00:00	3343.98	3343.98	3337.05	3339.32	455	0	180
2025.01.01	07:10:00	3339.32	3342.21	3337.37	3341.43	317	0	180
2025.01.01	07:20:00	3341.43	3342.06	3336.76	3339.28	339	0	180
2025.01.01	07:30:00	3339.28	3343.06	3338.64	3341.28	354	0	180
2025.01.01	07:40:00	3341.28	3342.48	3339.76	3341.13	220	0	180
2025.01.01	07:50:00	3341.13	3346.49	3341.13	3344.21	375	0	180
2025.01.01	08:00:00	3344.21	3346.24	3342.55	3342.77	373	0	180
2025.01.01	08:10:00	3342.77	3346.15	3342.55	3343.62	236	0	180
2025.01.01	08:20:00	3343.82	3344.20	3328.47	3335.44	856	0	180
2025.01.01	08:30:00	3335.37	3339.87	3333.95	3338.58	978	0	180
2025.01.01	08:40:00	3338.58	3340.32	3331.04	3331.63	595	0	180
2025.01.01	08:50:00	3331.63	3337.59	3331.63	3334.47	502	0	180
2025.01.01	09:00:00	3334.47	3338.70	3331.58	3332.15	651	0	180
2025.01.01	09:10:00	3332.15	3332.98	3320.78	3324.63	875	0	180
2025.01.01	09:20:00	3324.63	3325.25	3311.10	3320.41	1467	0	180
2025.01.01	09:30:00	3320.41	3326.96	3318.90	3319.93	983	0	180
2025.01.01	09:40:00	3319.93	3328.08	3316.87	3326.41	761	0	180
2025.01.01	09:50:00	3326.35	3332.55	3325.87	3331.75	667	0	180
2025.01.01	10:00:00	3331.98	3336.86	3330.07	3331.53	846	0	180
2025.01.01	10:10:00	3331.53	3332.94	3326.91	3332.61	424	0	180
2025.01.01	10:20:00	3332.61	3334.83	3328.62	3330.01	372	0	180
2025.01.01	10:30:00	3330.01	3335.84	3329.49	3331.70	489	0	180
2025.01.01	10:40:00	3331.82	3331.86	3325.89	3329.37	560	0	180
2025.01.01	10:50:00	3329.10	3329.58	3323.60	3324.94	516	0	180
2025.01.01	11:00:00	3324.94	3328.51	3321.46	3328.29	739	0	180
2025.01.01	11:10:00	3328.29	3332.96	3326.45	3330.55	459	0	180
2025.01.01	11:20:00	3330.55	3333.71	3328.79	3333.67	450	0	180
2025.01.01	11:30:00	3333.67	3335.91	3331.90	3332.46	407	0	180
2025.01.01	11:40:00	3332.46	3346.41	3331.71	3339.67	904	0	180
2025.01.01	11:50:00	3339.67	3341.14	3337.29	3338.76	433	0	180
2025.01.01	12:00:00	3338.76	3341.79	3335.69	3341.48	723	0	180
2025.01.01	12:10:00	3341.48	3343.45	3338.83	3341.61	533	0	180
2025.01.01	12:20:00	3341.61	3349.41	3341.61	3347.62	1297	0	180
2025.01.01	12:30:00	3347.62	3349.77	3342.03	3348.44	708	0	180
2025.01.01	12:40:00	3348.44	3350.21	3341.39	3342.29	854	0	180
2025.01.01	12:50:00	3342.29	3346.05	3341.75	3345.03	479	0	180
2025.01.01	13:00:00	3345.03	3351.48	3339.81	3340.61	936	0	180
2025.01.01	13:10:00	3340.60	3340.60	3331.09	3335.45	732	0	180
2025.01.01	13:20:00	3335.45	3337.11	3329.11	3333.63	683	0	180
2025.01.01	13:30:00	3333.63	3341.50	3333.12	3335.21	801	0	180
2025.01.01	13:40:00	3335.21	3340.38	3331.82	3339.23	486	0	180
2025.01.01	13:50:00	3339.23	3341.32	3336.55	3341.32	820	0	180
2025.01.01	14:00:00	3341.32	3357.40	3340.88	3346.56	1656	0	180
2025.01.01	14:10:00	3346.56	3349.00	3340.42	3340.45	1145	0	180
2025.01.01	14:20:00	3340.45	3342.02	3333.61	3334.42	787	0	180
2025.01.01	14:30:00	3334.42	3339.83	3325.08	3336.54	1504	0	180
2025.01.01	14:40:00	3336.54	3346.67	3332.50	3342.62	1235	0	180
2025.01.01	14:50:00	3342.62	3347.02	3341.32	3343.36	863	0	180
2025.01.01	15:00:00	3343.37	3348.33	3340.27	3342.19	863	0	180
2025.01.01	15:10:00	3342.19	3342.64	3330.05	3338.82	850	0	180
2025.01.01	15:20:00	3338.82	3341.47	3335.54	3336.17	775	0	180
2025.01.01	15:30:00	3336.17	3341.34	3334.61	3339.66	495	0	180
2025.01.01	15:40:00	3339.66	3350.88	3337.44	3347.27	887	0	180
2025.01.01	15:50:00	3347.27	3352.11	3344.18	3349.70	1014	0	180
2025.01.01	16:00:00	3349.70	3354.25	3342.71	3351.06	1227	0	180
2025.01.01	16:10:00	3351.14	3351.17	3340.35	3342.34	1088	0	180
2025.01.01	16:20:00	3342.34	3346.62	3339.91	3342.09	950	0	180
2025.01.01	16:30:00	3342.09	3343.45	3336.34	3339.53	956	0	180
2025.01.01	16:40:00	3339.53	3339.70	3332.73	3334.72	575	0	180
2025.01.01	16:50:00	3334.72	3336.22	3328.36	3335.43	606	0	180
2025.01.01	17:00:00	3335.43	3337.14	3328.05	3329.78	656	0	180
2025.01.01	17:10:00	3329.78	3331.18	3319.16	3322.48	849	0	180
2025.01.01	17:20:00	3322.48	3332.00	3321.50	3330.49	633	0	180
2025.01.01	17:30:00	3330.49	3335.59	3328.63	3332.83	634	0	180
2025.01.01	17:40:00	3332.83	3335.15	3330.37	3332.09	604	0	180
2025.01.01	17:50:00	3332.09	3342.15	3331.87	3340.20	798	0	180
2025.01.01	18:00:00	3340.20	3342.13	3330.89	3331.99	611	0	180
2025.01.01	18:10:00	3331.99	3335.33	3330.21	3334.25	341	0	180
2025.01.01	18:20:00	3334.25	3338.57	3332.50	3335.49	388	0	180
2025.01.01	18:30:00	3335.49	3346.23	3335.46	3344.46	805	0	180
2025.01.01	18:40:00	3344.46	3348.19	3341.12	3343.45	617	0	180
2025.01.01	18:50:00	3343.45	3346.01	3339.33	3344.55	802	0	180
2025.01.01	19:00:00	3344.55	3348.06	3341.64	3343.59	780	0	180
2025.01.01	19:10:00	3343.58	3350.33	3339.99	3343.97	812	0	180
2025.01.01	19:20:00	3344.22	3345.54	3338.48	3340.89	602	0	180
2025.01.01	19:30:00	3340.89	3345.26	3334.62	3345.25	896	0	180
2025.01.01	19:40:00	3345.25	3360.52	3343.43	3355.45	1007	0	180
2025.01.01	19:50:00	3355.45	3357.27	3346.45	3353.51	894	0	180
2025.01.01	20:00:00	3353.51	3358.31	3352.38	3355.27	902	0	180
2025.01.01	20:10:00	3355.27	3358.36	3348.62	3350.48	749	0	180
2025.01.01	20:20:00	3350.79	3354.16	3349.57	3351.49	563	0	180
2025.01.01	20:30:00	3351.49	3354.45	3348.57	3349.52	659	0	180
2025.01.01	20:40:00	3349.52	3359.37	3348.98	3358.20	778	0	180
2025.01.01	20:50:00	3358.20	3358.39	3355.75	3356.66	354	0	180
2025.01.01	21:00:00	3356.66	3361.47	3349.74	3351.44	683	0	180
2025.01.01	21:10:00	3351.44	3356.68	3350.29	3355.64	414	0	180
2025.01.01	21:20:00	3355.64	3368.35	3355.50	3364.09	884	0	180
2025.01.01	21:30:00	3364.09	3365.04	3356.31	3358.28	687	0	180
2025.01.01	21:40:00	3358.28	3362.41	3358.26	3361.02	565	0	180
2025.01.01	21:50:00	3361.02	3366.50	3360.59	3365.44	446	0	180
2025.01.01	22:00:00	3365.44	3366.59	3355.86	3359.73	524	0	180
2025.01.01	22:10:00	3359.48	3363.74	3358.80	3361.73	475	0	180
2025.01.01	22:20:00	3361.73	3371.73	3361.01	3365.40	379	0	180
2025.01.01	22:30:00	3365.40	3366.55	3360.45	3362.46	387	0	180
2025.01.01	22:40:00	3362.46	3366.09	3360.83	3365.25	252	0	180
2025.01.01	22:50:00	3365.25	3365.49	3356.97	3358.15	278	0	180
2025.01.01	23:00:00	3358.15	3364.10	3352.94	3360.40	964	0	180
2025.01.01	23:10:00	3360.40	3361.86	3351.34	3352.71	851	0	180
2025.01.01	23:20:00	3352.71	3355.51	3351.36	3353.37	598	0	180
2025.01.01	23:30:00	3353.37	3354.53	3349.58	3353.22	603	0	180
2025.01.01	23:40:00	3353.22	3357.20	3351.70	3354.41	575	0	180
2025.01.01	23:50:00	3354.41	3358.61	3352.39	3356.76	366	0	180
2025.01.02	00:00:00	3356.76	3358.35	3351.01	3357.42	691	0	180
2025.01.02	00:10:00	3357.42	3363.53	3352.16	3356.33	940	0	180
2025.01.02	00:20:00	3356.33	3392.48	3354.05	3381.30	2227	0	180
2025.01.02	00:30:00	3381.25	3391.62	3372.22	3388.60	2376	0	180
2025.01.02	00:40:00	3388.60	3396.81	3383.05	3393.29	1714	0	180
2025.01.02	00:50:00	3393.29	3397.05	3381.73	3387.30	1171	0	180
2025.01.02	01:00:00	3387.22	3402.75	3387.12	3397.77	1512	0	180
2025.01.02	01:10:00	3397.77	3399.95	3392.63	3393.97	1007	0	180
2025.01.02	01:20:00	3393.97	3394.88	3388.26	3389.42	708	0	180
2025.01.02	01:30:00	3389.42	3389.45	3375.83	3384.19	1121	0	180
2025.01.02	01:40:00	3384.19	3387.29	3379.76	3382.09	712	0	180
